Code,Gemeentecode,Gemeentenaam,Gemeentenummer,Provincie,Provinciecode,Provincienummer,Veiligheidsregio,Veiligheidsregiocode,Veiligheidsregionummer,GGD_regio,GGD_regiocode,GGD_regionummer,Shape__Area,Shape__Length,Datum,Meldingen,Ziekenhuisopnamen,Overleden,Bevolkingsaantal,Meldingen_100000,Ziekenhuisopnamen_100000,Overleden_100000,ObjectId
1842,GM1842,Midden-Delfland,1842,Zuid-Holland,PV28,28,Haaglanden,VR15,15,GGD Haaglanden,GG7014,7014,49413536.0311203,49250.1914749005,2021-07-22T00:00:00Z,2172,19,14,19344,11228.3,98.2,72.4,193
0664,GM0664,Goes,664,Zeeland,PV29,29,Zeeland,VR19,19,GGD Zeeland,GG5006,5006,99174020.9053173,52553.0823751911,2021-07-22T00:00:00Z,2979,99,31,38080,7823,260,81.4,108
1652,GM1652,Gemert-Bakel,1652,Noord-Brabant,PV30,30,Brabant-Zuidoost,VR22,22,GGD Brabant-Zuidoost,GG5608,5608,123340745.587254,46889.8146340114,2021-07-22T00:00:00Z,3116,101,38,30725,10141.6,328.7,123.7,104
0828,GM0828,Oss,828,Noord-Brabant,PV30,30,Brabant-Noord,VR21,21,GGD Hart voor Brabant,GG5406,5406,170829173.903301,72022.4959634815,2021-07-22T00:00:00Z,11340,244,129,91932,12335.2,265.4,140.3,230
0453,GM0453,Velsen,453,Noord-Holland,PV27,27,Kennemerland,VR12,12,GGD Kennemerland,GG3109,3109,49966034.7791138,59568.0867610975,2021-07-22T00:00:00Z,7653,104,90,68660,11146.2,151.5,131.1,304
1735,GM1735,Hof van Twente,1735,Overijssel,PV23,23,Twente,VR05,5,GGD Twente,GG1106,1106,215422253.667587,73969.1151151843,2021-07-22T00:00:00Z,3913,34,29,35013,11175.8,97.1,82.8,146
0175,GM0175,Ommen,175,Overijssel,PV23,23,IJsselland,VR04,4,GGD Ijsselland,GG1009,1009,182024143.341805,76840.2640504636,2021-07-22T00:00:00Z,1554,15,16,18007,8630,83.3,88.9,223
1955,GM1955,Montferland,1955,Gelderland,PV25,25,Noord- en Oost-Gelderland,VR06,6,GGD Noord- en Oost-Gelderland,GG1413,1413,106651697.786461,59595.3690165343,2021-07-22T00:00:00Z,3290,42,24,36009,9136.6,116.6,66.7,199
1702,GM1702,Sint Anthonis,1702,Noord-Brabant,PV30,30,Brabant-Noord,VR21,21,GGD Hart voor Brabant,GG5406,5406,99806672.452713,46093.5236987389,2021-07-22T00:00:00Z,1275,27,11,11672,10923.6,231.3,94.2,264
1876,GM1876,Bronckhorst,1876,Gelderland,PV25,25,Noord- en Oost-Gelderland,VR06,6,GGD Noord- en Oost-Gelderland,GG1413,1413,286413699.908897,106377.85551566,2021-07-22T00:00:00Z,3274,37,21,36052,9081.3,102.6,58.2,54
1674,GM1674,Roosendaal,1674,Noord-Brabant,PV30,30,Midden- en West-Brabant,VR20,20,GGD West-Brabant,GG5206,5206,107177249.751303,53007.5618920862,2021-07-22T00:00:00Z,8322,103,75,77226,10776.2,133.4,97.1,253
0213,GM0213,Brummen,213,Gelderland,PV25,25,Noord- en Oost-Gelderland,VR06,6,GGD Noord- en Oost-Gelderland,GG1413,1413,84961199.0647049,54145.3258327691,2021-07-22T00:00:00Z,1660,33,18,20756,7997.7,159,86.7,55
0866,GM0866,Waalre,866,Noord-Brabant,PV30,30,Brabant-Zuidoost,VR22,22,GGD Brabant-Zuidoost,GG5608,5608,22666997.9735603,20585.9437866673,2021-07-22T00:00:00Z,1745,19,17,17454,9997.7,108.9,97.4,316
0756,GM0756,Boxmeer,756,Noord-Brabant,PV30,30,Brabant-Noord,VR21,21,GGD Hart voor Brabant,GG5406,5406,113839055.9412,65331.7278909064,2021-07-22T00:00:00Z,3492,40,45,29371,11889.3,136.2,153.2,50
1979,GM1979,Eemsdelta,1979,Groningen,PV20,20,Groningen,VR01,1,GGD Groningen,GG0111,111,272235504.246429,118909.774982795,2021-07-22T00:00:00Z,2978,50,23,45843,6496.1,109.1,50.2,356
1667,GM1667,Reusel-De Mierden,1667,Noord-Brabant,PV30,30,Brabant-Zuidoost,VR22,22,GGD Brabant-Zuidoost,GG5608,5608,78694723.1168404,41560.8117212417,2021-07-22T00:00:00Z,1728,23,10,13110,13180.8,175.4,76.3,245
0599,GM0599,Rotterdam,599,Zuid-Holland,PV28,28,Rotterdam-Rijnmond,VR17,17,GGD Rotterdam-Rijnmond,GG4607,4607,270521238.907356,217898.152516374,2021-07-22T00:00:00Z,88566,1984,973,651376,13596.8,304.6,149.4,254
0262,GM0262,Lochem,262,Gelderland,PV25,25,Noord- en Oost-Gelderland,VR06,6,GGD Noord- en Oost-Gelderland,GG1413,1413,215953028.008545,86190.1932225132,2021-07-22T00:00:00Z,2441,38,29,33730,7236.9,112.7,86,179
0171,GM0171,Noordoostpolder,171,Flevoland,PV24,24,Flevoland,VR25,25,GGD Flevoland,GG2209,2209,464191584.498604,115368.205951091,2021-07-22T00:00:00Z,3702,36,28,47262,7832.9,76.2,59.2,212
0432,GM0432,Opmeer,432,Noord-Holland,PV27,27,Noord-Holland-Noord,VR10,10,GGD Hollands-Noorden,GG2707,2707,41912116.6716118,32103.2687930376,2021-07-22T00:00:00Z,1369,11,6,11837,11565.4,92.9,50.7,228
1892,GM1892,Zuidplas,1892,Zuid-Holland,PV28,28,Hollands Midden,VR16,16,GGD Hollands-Midden,GG4506,4506,64037198.3779984,56208.7770952728,2021-07-22T00:00:00Z,5168,121,47,43894,11773.8,275.7,107.1,350
0861,GM0861,Veldhoven,861,Noord-Brabant,PV30,30,Brabant-Zuidoost,VR22,22,GGD Brabant-Zuidoost,GG5608,5608,31892677.9515877,28982.8220332471,2021-07-22T00:00:00Z,5303,85,50,45458,11665.7,187,110,303
