ADM3_EN,ADM3_PCODE,ADM3_REF,ADM3ALT1EN,ADM3ALT2EN,ADM2_EN,ADM2_PCODE,ADM1_EN,ADM1_PCODE,ADM0_EN,ADM0_PCODE
Banga,PH126302000,NA,NA,NA,South Cotabato,PH126300000,Region XII,PH120000000,Philippines (the),PH
Bangar,PH013306000,NA,NA,NA,La Union,PH013300000,Region I,PH010000000,Philippines (the),PH
Bangued,PH140101000,NA,NA,NA,Abra,PH140100000,Cordillera Administrative Region,PH140000000,Philippines (the),PH
Bangui,PH012804000,NA,NA,NA,Ilocos Norte,PH012800000,Region I,PH010000000,Philippines (the),PH
Bani,PH015508000,NA,NA,NA,Pangasinan,PH015500000,Region I,PH010000000,Philippines (the),PH
Banisilan,PH124716000,NA,NA,NA,Cotabato,PH124700000,Region XII,PH120000000,Philippines (the),PH
Banna,PH012811000,NA,NA,NA,Ilocos Norte,PH012800000,Region I,PH010000000,Philippines (the),PH
Bansalan,PH112401000,NA,NA,NA,Davao del Sur,PH112400000,Region XI,PH110000000,Philippines (the),PH
Bansud,PH175202000,NA,NA,NA,Oriental Mindoro,PH175200000,Region IV-B,PH170000000,Philippines (the),PH
Bantay,PH012903000,NA,NA,NA,Ilocos Sur,PH012900000,Region I,PH010000000,Philippines (the),PH
Bantayan,PH072209000,NA,NA,NA,Cebu,PH072200000,Region VII,PH070000000,Philippines (the),PH
Banton,PH175902000,NA,NA,NA,Romblon,PH175900000,Region IV-B,PH170000000,Philippines (the),PH
Baras,PH045803000,NA,NA,NA,Rizal,PH045800000,Region IV-A,PH040000000,Philippines (the),PH
Baras,PH052002000,NA,NA,NA,Catanduanes,PH052000000,Region V,PH050000000,Philippines (the),PH
Barbaza,PH060602000,NA,NA,NA,Antique,PH060600000,Region VI,PH060000000,Philippines (the),PH
Barcelona,PH056202000,NA,NA,NA,Sorsogon,PH056200000,Region V,PH050000000,Philippines (the),PH
Barili,PH072210000,NA,NA,NA,Cebu,PH072200000,Region VII,PH070000000,Philippines (the),PH
Barira,PH153818000,NA,NA,NA,Maguindanao,PH153800000,Autonomous Region in Muslim Mindanao,PH150000000,Philippines (the),PH
Barlig,PH144401000,NA,NA,NA,Mountain Province,PH144400000,Cordillera Administrative Region,PH140000000,Philippines (the),PH
Barobo,PH166801000,NA,NA,NA,Surigao del Sur,PH166800000,Region XIII,PH160000000,Philippines (the),PH
Barotac Nuevo,PH063007000,NA,NA,NA,Iloilo,PH063000000,Region VI,PH060000000,Philippines (the),PH
Barotac Viejo,PH063008000,NA,NA,NA,Iloilo,PH063000000,Region VI,PH060000000,Philippines (the),PH
Baroy,PH103503000,NA,NA,NA,Lanao del Norte,PH103500000,Region X,PH100000000,Philippines (the),PH
Barugo,PH083706000,NA,NA,NA,Leyte,PH083700000,Region VIII,PH080000000,Philippines (the),PH
Basay,PH074605000,NA,NA,NA,Negros Oriental,PH074600000,Region VII,PH070000000,Philippines (the),PH
Basco,PH020901000,NA,NA,NA,Batanes,PH020900000,Region II,PH020000000,Philippines (the),PH
Basey,PH086002000,NA,NA,NA,Samar,PH086000000,Region VIII,PH080000000,Philippines (the),PH
Basilisa,PH168501000,NA,NA,NA,Dinagat Islands,PH168500000,Region XIII,PH160000000,Philippines (the),PH
Basista,PH015509000,NA,NA,NA,Pangasinan,PH015500000,Region I,PH010000000,Philippines (the),PH
Basud,PH051601000,NA,NA,NA,Camarines Norte,PH051600000,Region V,PH050000000,Philippines (the),PH
Batad,PH063009000,NA,NA,NA,Iloilo,PH063000000,Region VI,PH060000000,Philippines (the),PH
Batan,PH060404000,NA,NA,NA,Aklan,PH060400000,Region VI,PH060000000,Philippines (the),PH
Batangas City,PH041005000,NA,NA,NA,Batangas,PH041000000,Region IV-A,PH040000000,Philippines (the),PH
Bataraza,PH175305000,NA,NA,NA,Palawan,PH175300000,Region IV-B,PH170000000,Philippines (the),PH
Bato,PH051703000,NA,NA,NA,Camarines Sur,PH051700000,Region V,PH050000000,Philippines (the),PH
Bato,PH052003000,NA,NA,NA,Catanduanes,PH052000000,Region V,PH050000000,Philippines (the),PH
Bato,PH083707000,NA,NA,NA,Leyte,PH083700000,Region VIII,PH080000000,Philippines (the),PH
Batuan,PH054104000,NA,NA,NA,Masbate,PH054100000,Region V,PH050000000,Philippines (the),PH
Batuan,PH071207000,NA,NA,NA,Bohol,PH071200000,Region VII,PH070000000,Philippines (the),PH
Bauan,PH041006000,NA,NA,NA,Batangas,PH041000000,Region IV-A,PH040000000,Philippines (the),PH
Bauang,PH013307000,NA,NA,NA,La Union,PH013300000,Region I,PH010000000,Philippines (the),PH
Bauko,PH144402000,NA,NA,NA,Mountain Province,PH144400000,Cordillera Administrative Region,PH140000000,Philippines (the),PH
Baungon,PH101301000,NA,NA,NA,Bukidnon,PH101300000,Region X,PH100000000,Philippines (the),PH
Bautista,PH015510000,NA,NA,NA,Pangasinan,PH015500000,Region I,PH010000000,Philippines (the),PH
Bay,PH043402000,NA,NA,NA,Laguna,PH043400000,Region IV-A,PH040000000,Philippines (the),PH
Bayabas,PH166802000,NA,NA,NA,Surigao del Sur,PH166800000,Region XIII,PH160000000,Philippines (the),PH
Bayambang,PH015511000,NA,NA,NA,Pangasinan,PH015500000,Region I,PH010000000,Philippines (the),PH
Bayang,PH153604000,NA,NA,NA,Lanao del Sur,PH153600000,Autonomous Region in Muslim Mindanao,PH150000000,Philippines (the),PH
Bayog,PH097303000,NA,NA,NA,Zamboanga del Sur,PH097300000,Region IX,PH090000000,Philippines (the),PH
Bayombong,PH025005000,NA,NA,NA,Nueva Vizcaya,PH025000000,Region II,PH020000000,Philippines (the),PH
Belison,PH060603000,NA,NA,NA,Antique,PH060600000,Region VI,PH060000000,Philippines (the),PH
Benito Soliven,PH023104000,NA,NA,NA,Isabela,PH023100000,Region II,PH020000000,Philippines (the),PH
Besao,PH144403000,NA,NA,NA,Mountain Province,PH144400000,Cordillera Administrative Region,PH140000000,Philippines (the),PH
Bien Unido,PH071248000,NA,NA,NA,Bohol,PH071200000,Region VII,PH070000000,Philippines (the),PH
Bilar,PH071208000,NA,NA,NA,Bohol,PH071200000,Region VII,PH070000000,Philippines (the),PH
Biliran,PH087802000,NA,NA,NA,Biliran,PH087800000,Region VIII,PH080000000,Philippines (the),PH
Binalbagan,PH064503000,NA,NA,NA,Negros Occidental,PH064500000,Region VI,PH060000000,Philippines (the),PH
Binalonan,PH015512000,NA,NA,NA,Pangasinan,PH015500000,Region I,PH010000000,Philippines (the),PH
Binangonan,PH045804000,NA,NA,NA,Rizal,PH045800000,Region IV-A,PH040000000,Philippines (the),PH
Bindoy,PH074607000,NA,NA,NA,Negros Oriental,PH074600000,Region VII,PH070000000,Philippines (the),PH
Bingawan,PH063010000,NA,NA,NA,Iloilo,PH063000000,Region VI,PH060000000,Philippines (the),PH
