ADM3_EN,ADM3_PCODE,ADM3_REF,ADM3ALT1EN,ADM3ALT2EN,ADM2_EN,ADM2_PCODE,ADM1_EN,ADM1_PCODE,ADM0_EN,ADM0_PCODE
Cabatuan,PH063012000,NA,NA,NA,Iloilo,PH063000000,Region VI,PH060000000,Philippines (the),PH
Cabiao,PH034904000,NA,NA,NA,Nueva Ecija,PH034900000,Region III,PH030000000,Philippines (the),PH
Cabucgayan,PH087803000,NA,NA,NA,Biliran,PH087800000,Region VIII,PH080000000,Philippines (the),PH
Cabugao,PH012905000,NA,NA,NA,Ilocos Sur,PH012900000,Region I,PH010000000,Philippines (the),PH
Cabusao,PH051707000,NA,NA,NA,Camarines Sur,PH051700000,Region V,PH050000000,Philippines (the),PH
Cabuyao City,PH043404000,NA,NA,NA,Laguna,PH043400000,Region IV-A,PH040000000,Philippines (the),PH
Cadiz City,PH064504000,NA,NA,NA,Negros Occidental,PH064500000,Region VI,PH060000000,Philippines (the),PH
Cagayan de Oro City,PH104305000,NA,NA,NA,Misamis Oriental,PH104300000,Region X,PH100000000,Philippines (the),PH
Cagayancillo,PH175308000,NA,NA,NA,Palawan,PH175300000,Region IV-B,PH170000000,Philippines (the),PH
Cagdianao,PH168502000,NA,NA,NA,Dinagat Islands,PH168500000,Region XIII,PH160000000,Philippines (the),PH
Cagwait,PH166804000,NA,NA,NA,Surigao del Sur,PH166800000,Region XIII,PH160000000,Philippines (the),PH
Caibiran,PH087804000,NA,NA,NA,Biliran,PH087800000,Region VIII,PH080000000,Philippines (the),PH
Cainta,PH045805000,NA,NA,NA,Rizal,PH045800000,Region IV-A,PH040000000,Philippines (the),PH
Cajidiocan,PH175903000,NA,NA,NA,Romblon,PH175900000,Region IV-B,PH170000000,Philippines (the),PH
Calabanga,PH051708000,NA,NA,NA,Camarines Sur,PH051700000,Region V,PH050000000,Philippines (the),PH
Calaca,PH041007000,NA,NA,NA,Batangas,PH041000000,Region IV-A,PH040000000,Philippines (the),PH
Calamba,PH104204000,NA,NA,NA,Misamis Occidental,PH104200000,Region X,PH100000000,Philippines (the),PH
Calanasan,PH148101000,NA,NA,NA,Apayao,PH148100000,Cordillera Administrative Region,PH140000000,Philippines (the),PH
Calanogas,PH153632000,NA,NA,NA,Lanao del Sur,PH153600000,Autonomous Region in Muslim Mindanao,PH150000000,Philippines (the),PH
Calape,PH071210000,NA,NA,NA,Bohol,PH071200000,Region VII,PH070000000,Philippines (the),PH
Calasiao,PH015517000,NA,NA,NA,Pangasinan,PH015500000,Region I,PH010000000,Philippines (the),PH
Calatagan,PH041008000,NA,NA,NA,Batangas,PH041000000,Region IV-A,PH040000000,Philippines (the),PH
Calatrava,PH064505000,NA,NA,NA,Negros Occidental,PH064500000,Region VI,PH060000000,Philippines (the),PH
Calatrava,PH175904000,NA,NA,NA,Romblon,PH175900000,Region IV-B,PH170000000,Philippines (the),PH
Calauag,PH045607000,NA,NA,NA,Quezon,PH045600000,Region IV-A,PH040000000,Philippines (the),PH
Calauan,PH043406000,NA,NA,NA,Laguna,PH043400000,Region IV-A,PH040000000,Philippines (the),PH
Calayan,PH021509000,NA,NA,NA,Cagayan,PH021500000,Region II,PH020000000,Philippines (the),PH
Calbayog City,PH086003000,NA,NA,NA,Samar,PH086000000,Region VIII,PH080000000,Philippines (the),PH
Calbiga,PH086004000,NA,NA,NA,Samar,PH086000000,Region VIII,PH080000000,Philippines (the),PH
Calinog,PH063013000,NA,NA,NA,Iloilo,PH063000000,Region VI,PH060000000,Philippines (the),PH
Calintaan,PH175102000,NA,NA,NA,Occidental Mindoro,PH175100000,Region IV-B,PH170000000,Philippines (the),PH
Caloocan City,PH137501000,NA,NA,NA,NCR,PH137500000,National Capital Region,PH130000000,Philippines (the),PH
Calubian,PH083713000,NA,NA,NA,Leyte,PH083700000,Region VIII,PH080000000,Philippines (the),PH
Calumpit,PH031407000,NA,NA,NA,Bulacan,PH031400000,Region III,PH030000000,Philippines (the),PH
Caluya,PH060605000,NA,NA,NA,Antique,PH060600000,Region VI,PH060000000,Philippines (the),PH
Camalaniugan,PH021510000,NA,NA,NA,Cagayan,PH021500000,Region II,PH020000000,Philippines (the),PH
Camalig,PH050502000,NA,NA,NA,Albay,PH050500000,Region V,PH050000000,Philippines (the),PH
Camaligan,PH051709000,NA,NA,NA,Camarines Sur,PH051700000,Region V,PH050000000,Philippines (the),PH
Camiling,PH036903000,NA,NA,NA,Tarlac,PH036900000,Region III,PH030000000,Philippines (the),PH
Can-Avid,PH082605000,NA,NA,NA,Eastern Samar,PH082600000,Region VIII,PH080000000,Philippines (the),PH
Canaman,PH051710000,NA,NA,NA,Camarines Sur,PH051700000,Region V,PH050000000,Philippines (the),PH
Candaba,PH035405000,NA,NA,NA,Pampanga,PH035400000,Region III,PH030000000,Philippines (the),PH
Candelaria,PH037103000,NA,NA,NA,Zambales,PH037100000,Region III,PH030000000,Philippines (the),PH
Candelaria,PH045608000,NA,NA,NA,Quezon,PH045600000,Region IV-A,PH040000000,Philippines (the),PH
Candijay,PH071211000,NA,NA,NA,Bohol,PH071200000,Region VII,PH070000000,Philippines (the),PH
Candoni,PH064506000,NA,NA,NA,Negros Occidental,PH064500000,Region VI,PH060000000,Philippines (the),PH
Canlaon City,PH074608000,NA,NA,NA,Negros Oriental,PH074600000,Region VII,PH070000000,Philippines (the),PH
Cantilan,PH166805000,NA,NA,NA,Surigao del Sur,PH166800000,Region XIII,PH160000000,Philippines (the),PH
Caoayan,PH012907000,NA,NA,NA,Ilocos Sur,PH012900000,Region I,PH010000000,Philippines (the),PH
Capalonga,PH051602000,NA,NA,NA,Camarines Norte,PH051600000,Region V,PH050000000,Philippines (the),PH
Capas,PH036904000,NA,NA,NA,Tarlac,PH036900000,Region III,PH030000000,Philippines (the),PH
Capoocan,PH083714000,NA,NA,NA,Leyte,PH083700000,Region VIII,PH080000000,Philippines (the),PH
Capul,PH084804000,NA,NA,NA,Northern Samar,PH084800000,Region VIII,PH080000000,Philippines (the),PH
Caraga,PH112504000,NA,NA,NA,Davao Oriental,PH112500000,Region XI,PH110000000,Philippines (the),PH
Caramoan,PH051711000,NA,NA,NA,Camarines Sur,PH051700000,Region V,PH050000000,Philippines (the),PH
Caramoran,PH052004000,NA,NA,NA,Catanduanes,PH052000000,Region V,PH050000000,Philippines (the),PH
Carasi,PH012807000,NA,NA,NA,Ilocos Norte,PH012800000,Region I,PH010000000,Philippines (the),PH
Cardona,PH045806000,NA,NA,NA,Rizal,PH045800000,Region IV-A,PH040000000,Philippines (the),PH
Carigara,PH083715000,NA,NA,NA,Leyte,PH083700000,Region VIII,PH080000000,Philippines (the),PH
Carles,PH063014000,NA,NA,NA,Iloilo,PH063000000,Region VI,PH060000000,Philippines (the),PH
Carmen,PH071212000,NA,NA,NA,Bohol,PH071200000,Region VII,PH070000000,Philippines (the),PH
Carmen,PH072215000,NA,NA,NA,Cebu,PH072200000,Region VII,PH070000000,Philippines (the),PH
Carmen,PH112303000,NA,NA,NA,Davao del Norte,PH112300000,Region XI,PH110000000,Philippines (the),PH
Carmen,PH124702000,NA,NA,NA,Cotabato,PH124700000,Region XII,PH120000000,Philippines (the),PH
Carmen,PH160204000,NA,NA,NA,Agusan del Norte,PH160200000,Region XIII,PH160000000,Philippines (the),PH
Carmen,PH166806000,NA,NA,NA,Surigao del Sur,PH166800000,Region XIII,PH160000000,Philippines (the),PH
Carmona,PH042104000,NA,NA,NA,Cavite,PH042100000,Region IV-A,PH040000000,Philippines (the),PH
Carranglan,PH034905000,NA,NA,NA,Nueva Ecija,PH034900000,Region III,PH030000000,Philippines (the),PH
Carrascal,PH166807000,NA,NA,NA,Surigao del Sur,PH166800000,Region XIII,PH160000000,Philippines (the),PH
Casiguran,PH037702000,NA,NA,NA,Aurora,PH037700000,Region III,PH030000000,Philippines (the),PH
Casiguran,PH056205000,NA,NA,NA,Sorsogon,PH056200000,Region V,PH050000000,Philippines (the),PH
Castilla,PH056206000,NA,NA,NA,Sorsogon,PH056200000,Region V,PH050000000,Philippines (the),PH
Castillejos,PH037104000,NA,NA,NA,Zambales,PH037100000,Region III,PH030000000,Philippines (the),PH
Cataingan,PH054105000,NA,NA,NA,Masbate,PH054100000,Region V,PH050000000,Philippines (the),PH
Catanauan,PH045610000,NA,NA,NA,Quezon,PH045600000,Region IV-A,PH040000000,Philippines (the),PH
Catarman,PH084805000,NA,NA,NA,Northern Samar,PH084800000,Region VIII,PH080000000,Philippines (the),PH
Catarman,PH101801000,NA,NA,NA,Camiguin,PH101800000,Region X,PH100000000,Philippines (the),PH
Cateel,PH112505000,NA,NA,NA,Davao Oriental,PH112500000,Region XI,PH110000000,Philippines (the),PH
Catigbian,PH071213000,NA,NA,NA,Bohol,PH071200000,Region VII,PH070000000,Philippines (the),PH
Catmon,PH072216000,NA,NA,NA,Cebu,PH072200000,Region VII,PH070000000,Philippines (the),PH
Catubig,PH084806000,NA,NA,NA,Northern Samar,PH084800000,Region VIII,PH080000000,Philippines (the),PH
Cauayan,PH064507000,NA,NA,NA,Negros Occidental,PH064500000,Region VI,PH060000000,Philippines (the),PH
Cavinti,PH043407000,NA,NA,NA,Laguna,PH043400000,Region IV-A,PH040000000,Philippines (the),PH
Cavite City,PH042105000,NA,NA,NA,Cavite,PH042100000,Region IV-A,PH040000000,Philippines (the),PH
Cawayan,PH054106000,NA,NA,NA,Masbate,PH054100000,Region V,PH050000000,Philippines (the),PH
Cebu City,PH072217000,NA,NA,NA,Cebu,PH072200000,Region VII,PH070000000,Philippines (the),PH
Cervantes,PH012908000,NA,NA,NA,Ilocos Sur,PH012900000,Region I,PH010000000,Philippines (the),PH
City of Alaminos,PH015503000,NA,NA,NA,Pangasinan,PH015500000,Region I,PH010000000,Philippines (the),PH
City of Antipolo,PH045802000,NA,NA,NA,Rizal,PH045800000,Region IV-A,PH040000000,Philippines (the),PH
City of Balanga,PH030803000,NA,NA,NA,Bataan,PH030800000,Region III,PH030000000,Philippines (the),PH
City of Batac,PH012805000,NA,NA,NA,Ilocos Norte,PH012800000,Region I,PH010000000,Philippines (the),PH
City of Bayawan,PH074606000,NA,NA,NA,Negros Oriental,PH074600000,Region VII,PH070000000,Philippines (the),PH
City of Baybay,PH083708000,NA,NA,NA,Leyte,PH083700000,Region VIII,PH080000000,Philippines (the),PH
City of Bayugan,PH160301000,NA,NA,NA,Agusan del Sur,PH160300000,Region XIII,PH160000000,Philippines (the),PH
City of Biñan,PH043403000,City of Binan,NA,NA,Laguna,PH043400000,Region IV-A,PH040000000,Philippines (the),PH
City of Bislig,PH166803000,NA,NA,NA,Surigao del Sur,PH166800000,Region XIII,PH160000000,Philippines (the),PH
City of Bogo,PH072211000,NA,NA,NA,Cebu,PH072200000,Region VII,PH070000000,Philippines (the),PH
City of Borongan,PH082604000,NA,NA,NA,Eastern Samar,PH082600000,Region VIII,PH080000000,Philippines (the),PH
City of Cabadbaran,PH160203000,NA,NA,NA,Agusan del Norte,PH160200000,Region XIII,PH160000000,Philippines (the),PH
City of Calamba,PH043405000,NA,NA,NA,Laguna,PH043400000,Region IV-A,PH040000000,Philippines (the),PH
City of Calapan,PH175205000,NA,NA,NA,Oriental Mindoro,PH175200000,Region IV-B,PH170000000,Philippines (the),PH
City of Candon,PH012906000,NA,NA,NA,Ilocos Sur,PH012900000,Region I,PH010000000,Philippines (the),PH
City of Carcar,PH072214000,NA,NA,NA,Cebu,PH072200000,Region VII,PH070000000,Philippines (the),PH
City of Catbalogan,PH086005000,NA,NA,NA,Samar,PH086000000,Region VIII,PH080000000,Philippines (the),PH
City of Cauayan,PH023108000,NA,NA,NA,Isabela,PH023100000,Region II,PH020000000,Philippines (the),PH
City of Dasmariñas,PH042106000,City of Dasmarinas,NA,NA,Cavite,PH042100000,Region IV-A,PH040000000,Philippines (the),PH
City of Digos,PH112403000,NA,NA,NA,Davao del Sur,PH112400000,Region XI,PH110000000,Philippines (the),PH
City of El Salvador,PH104307000,NA,NA,NA,Misamis Oriental,PH104300000,Region X,PH100000000,Philippines (the),PH
City of Escalante,PH064509000,NA,NA,NA,Negros Occidental,PH064500000,Region VI,PH060000000,Philippines (the),PH
City of Gapan,PH034908000,NA,NA,NA,Nueva Ecija,PH034900000,Region III,PH030000000,Philippines (the),PH
City of General Trias,PH042108000,NA,NA,NA,Cavite,PH042100000,Region IV-A,PH040000000,Philippines (the),PH
City of Guihulngan,PH074611000,NA,NA,NA,Negros Oriental,PH074600000,Region VII,PH070000000,Philippines (the),PH
City of Himamaylan,PH064510000,NA,NA,NA,Negros Occidental,PH064500000,Region VI,PH060000000,Philippines (the),PH
City of Isabela,PH099701000,NA,NA,NA,City of Isabela,PH099700000,Region IX,PH090000000,Philippines (the),PH
City of Kabankalan,PH064515000,NA,NA,NA,Negros Occidental,PH064500000,Region VI,PH060000000,Philippines (the),PH
City of Kidapawan,PH124704000,NA,NA,NA,Cotabato,PH124700000,Region XII,PH120000000,Philippines (the),PH
City of Koronadal,PH126306000,NA,NA,NA,South Cotabato,PH126300000,Region XII,PH120000000,Philippines (the),PH
City of Lamitan,PH150702000,NA,NA,NA,Basilan,PH150700000,Autonomous Region in Muslim Mindanao,PH150000000,Philippines (the),PH
City of Las Piñas,PH137601000,City of Las Pinas,NA,NA,NCR,PH137600000,National Capital Region,PH130000000,Philippines (the),PH
City of Ligao,PH050508000,NA,NA,NA,Albay,PH050500000,Region V,PH050000000,Philippines (the),PH
City of Maasin,PH086407000,NA,NA,NA,Southern Leyte,PH086400000,Region VIII,PH080000000,Philippines (the),PH
City of Makati,PH137602000,NA,NA,NA,NCR,PH137600000,National Capital Region,PH130000000,Philippines (the),PH
City of Malabon,PH137502000,NA,NA,NA,NCR,PH137500000,National Capital Region,PH130000000,Philippines (the),PH
City of Malaybalay,PH101312000,NA,NA,NA,Bukidnon,PH101300000,Region X,PH100000000,Philippines (the),PH
City of Malolos,PH031410000,NA,NA,NA,Bulacan,PH031400000,Region III,PH030000000,Philippines (the),PH
City of Mandaluyong,PH137401000,NA,NA,NA,NCR,PH137400000,National Capital Region,PH130000000,Philippines (the),PH
City of Marikina,PH137402000,NA,NA,NA,NCR,PH137400000,National Capital Region,PH130000000,Philippines (the),PH
City of Masbate,PH054111000,NA,NA,NA,Masbate,PH054100000,Region V,PH050000000,Philippines (the),PH
City of Mati,PH112509000,NA,NA,NA,Davao Oriental,PH112500000,Region XI,PH110000000,Philippines (the),PH
City of Meycauayan,PH031412000,NA,NA,NA,Bulacan,PH031400000,Region III,PH030000000,Philippines (the),PH
City of Muntinlupa,PH137603000,NA,NA,NA,NCR,PH137600000,National Capital Region,PH130000000,Philippines (the),PH
City of Naga,PH072234000,NA,NA,NA,Cebu,PH072200000,Region VII,PH070000000,Philippines (the),PH
City of Navotas,PH137503000,NA,NA,NA,NCR,PH137500000,National Capital Region,PH130000000,Philippines (the),PH
City of Panabo,PH112315000,NA,NA,NA,Davao del Norte,PH112300000,Region XI,PH110000000,Philippines (the),PH
City of Parañaque,PH137604000,City of Paranaque,NA,NA,NCR,PH137600000,National Capital Region,PH130000000,Philippines (the),PH
City of Pasig,PH137403000,NA,NA,NA,NCR,PH137400000,National Capital Region,PH130000000,Philippines (the),PH
City of Passi,PH063035000,NA,NA,NA,Iloilo,PH063000000,Region VI,PH060000000,Philippines (the),PH
City of San Fernando,PH013314000,NA,NA,NA,La Union,PH013300000,Region I,PH010000000,Philippines (the),PH
City of San Fernando,PH035416000,NA,NA,NA,Pampanga,PH035400000,Region III,PH030000000,Philippines (the),PH
City of San Jose del Monte,PH031420000,NA,NA,NA,Bulacan,PH031400000,Region III,PH030000000,Philippines (the),PH
City of San Juan,PH137405000,NA,NA,NA,NCR,PH137400000,National Capital Region,PH130000000,Philippines (the),PH
City of San Pedro,PH043425000,NA,NA,NA,Laguna,PH043400000,Region IV-A,PH040000000,Philippines (the),PH
City of Santa Rosa,PH043428000,NA,NA,NA,Laguna,PH043400000,Region IV-A,PH040000000,Philippines (the),PH
City of Santiago,PH023135000,NA,NA,NA,Isabela,PH023100000,Region II,PH020000000,Philippines (the),PH
City of Sipalay,PH064527000,NA,NA,NA,Negros Occidental,PH064500000,Region VI,PH060000000,Philippines (the),PH
City of Sorsogon,PH056216000,NA,NA,NA,Sorsogon,PH056200000,Region V,PH050000000,Philippines (the),PH
City of Tabaco,PH050517000,NA,NA,NA,Albay,PH050500000,Region V,PH050000000,Philippines (the),PH
City of Tabuk,PH143213000,NA,NA,NA,Kalinga,PH143200000,Cordillera Administrative Region,PH140000000,Philippines (the),PH
City of Tacurong,PH126511000,NA,NA,NA,Sultan Kudarat,PH126500000,Region XII,PH120000000,Philippines (the),PH
City of Tagum,PH112319000,NA,NA,NA,Davao del Norte,PH112300000,Region XI,PH110000000,Philippines (the),PH
City of Talisay,PH064528000,NA,NA,NA,Negros Occidental,PH064500000,Region VI,PH060000000,Philippines (the),PH
City of Talisay,PH072250000,NA,NA,NA,Cebu,PH072200000,Region VII,PH070000000,Philippines (the),PH
City of Tanauan,PH041031000,NA,NA,NA,Batangas,PH041000000,Region IV-A,PH040000000,Philippines (the),PH
City of Tandag,PH166819000,NA,NA,NA,Surigao del Sur,PH166800000,Region XIII,PH160000000,Philippines (the),PH
City of Tanjay,PH074621000,NA,NA,NA,Negros Oriental,PH074600000,Region VII,PH070000000,Philippines (the),PH
City of Tarlac,PH036916000,NA,NA,NA,Tarlac,PH036900000,Region III,PH030000000,Philippines (the),PH
City of Tayabas,PH045647000,NA,NA,NA,Quezon,PH045600000,Region IV-A,PH040000000,Philippines (the),PH
City of Urdaneta,PH015546000,NA,NA,NA,Pangasinan,PH015500000,Region I,PH010000000,Philippines (the),PH
City of Valencia,PH101321000,NA,NA,NA,Bukidnon,PH101300000,Region X,PH100000000,Philippines (the),PH
City of Valenzuela,PH137504000,NA,NA,NA,NCR,PH137500000,National Capital Region,PH130000000,Philippines (the),PH
City of Victorias,PH064531000,NA,NA,NA,Negros Occidental,PH064500000,Region VI,PH060000000,Philippines (the),PH
City of Vigan,PH012934000,NA,NA,NA,Ilocos Sur,PH012900000,Region I,PH010000000,Philippines (the),PH
Clarin,PH071214000,NA,NA,NA,Bohol,PH071200000,Region VII,PH070000000,Philippines (the),PH
Clarin,PH104205000,NA,NA,NA,Misamis Occidental,PH104200000,Region X,PH100000000,Philippines (the),PH
Claver,PH166706000,NA,NA,NA,Surigao del Norte,PH166700000,Region XIII,PH160000000,Philippines (the),PH
Claveria,PH021511000,NA,NA,NA,Cagayan,PH021500000,Region II,PH020000000,Philippines (the),PH
Claveria,PH054107000,NA,NA,NA,Masbate,PH054100000,Region V,PH050000000,Philippines (the),PH
Claveria,PH104306000,NA,NA,NA,Misamis Oriental,PH104300000,Region X,PH100000000,Philippines (the),PH
Columbio,PH126502000,NA,NA,NA,Sultan Kudarat,PH126500000,Region XII,PH120000000,Philippines (the),PH
Compostela,PH072218000,NA,NA,NA,Cebu,PH072200000,Region VII,PH070000000,Philippines (the),PH
Compostela,PH118201000,NA,NA,NA,Davao de Oro,PH118200000,Region XI,PH110000000,Philippines (the),PH
Concepcion,PH036905000,NA,NA,NA,Tarlac,PH036900000,Region III,PH030000000,Philippines (the),PH
Concepcion,PH063015000,NA,NA,NA,Iloilo,PH063000000,Region VI,PH060000000,Philippines (the),PH
Concepcion,PH104206000,NA,NA,NA,Misamis Occidental,PH104200000,Region X,PH100000000,Philippines (the),PH
Concepcion,PH175905000,NA,NA,NA,Romblon,PH175900000,Region IV-B,PH170000000,Philippines (the),PH
Conner,PH148102000,NA,NA,NA,Apayao,PH148100000,Cordillera Administrative Region,PH140000000,Philippines (the),PH
Consolacion,PH072219000,NA,NA,NA,Cebu,PH072200000,Region VII,PH070000000,Philippines (the),PH
Corcuera,PH175906000,NA,NA,NA,Romblon,PH175900000,Region IV-B,PH170000000,Philippines (the),PH
Cordon,PH023109000,NA,NA,NA,Isabela,PH023100000,Region II,PH020000000,Philippines (the),PH
Cordova,PH072220000,NA,NA,NA,Cebu,PH072200000,Region VII,PH070000000,Philippines (the),PH
Corella,PH071215000,NA,NA,NA,Bohol,PH071200000,Region VII,PH070000000,Philippines (the),PH
Coron,PH175309000,NA,NA,NA,Palawan,PH175300000,Region IV-B,PH170000000,Philippines (the),PH
Cortes,PH071216000,NA,NA,NA,Bohol,PH071200000,Region VII,PH070000000,Philippines (the),PH
Cortes,PH166808000,NA,NA,NA,Surigao del Sur,PH166800000,Region XIII,PH160000000,Philippines (the),PH
Cotabato City,PH129804000,NA,NA,NA,Cotabato City,PH129800000,Region XII,PH120000000,Philippines (the),PH
Cuartero,PH061901000,NA,NA,NA,Capiz,PH061900000,Region VI,PH060000000,Philippines (the),PH
Cuenca,PH041009000,NA,NA,NA,Batangas,PH041000000,Region IV-A,PH040000000,Philippines (the),PH
Culaba,PH087805000,NA,NA,NA,Biliran,PH087800000,Region VIII,PH080000000,Philippines (the),PH
Culasi,PH060606000,NA,NA,NA,Antique,PH060600000,Region VI,PH060000000,Philippines (the),PH
Culion,PH175322000,NA,NA,NA,Palawan,PH175300000,Region IV-B,PH170000000,Philippines (the),PH
Currimao,PH012808000,NA,NA,NA,Ilocos Norte,PH012800000,Region I,PH010000000,Philippines (the),PH
Cuyapo,PH034906000,NA,NA,NA,Nueva Ecija,PH034900000,Region III,PH030000000,Philippines (the),PH
Cuyo,PH175310000,NA,NA,NA,Palawan,PH175300000,Region IV-B,PH170000000,Philippines (the),PH
Daanbantayan,PH072221000,NA,NA,NA,Cebu,PH072200000,Region VII,PH070000000,Philippines (the),PH
Daet,PH051603000,NA,NA,NA,Camarines Norte,PH051600000,Region V,PH050000000,Philippines (the),PH
Dagami,PH083717000,NA,NA,NA,Leyte,PH083700000,Region VIII,PH080000000,Philippines (the),PH
Dagohoy,PH071217000,NA,NA,NA,Bohol,PH071200000,Region VII,PH070000000,Philippines (the),PH
Daguioman,PH140105000,NA,NA,NA,Abra,PH140100000,Cordillera Administrative Region,PH140000000,Philippines (the),PH
Dagupan City,PH015518000,NA,NA,NA,Pangasinan,PH015500000,Region I,PH010000000,Philippines (the),PH
Dalaguete,PH072222000,NA,NA,NA,Cebu,PH072200000,Region VII,PH070000000,Philippines (the),PH
Damulog,PH101302000,NA,NA,NA,Bukidnon,PH101300000,Region X,PH100000000,Philippines (the),PH
Danao,PH071218000,NA,NA,NA,Bohol,PH071200000,Region VII,PH070000000,Philippines (the),PH
Danao City,PH072223000,NA,NA,NA,Cebu,PH072200000,Region VII,PH070000000,Philippines (the),PH
Dangcagan,PH101303000,NA,NA,NA,Bukidnon,PH101300000,Region X,PH100000000,Philippines (the),PH
Danglas,PH140106000,NA,NA,NA,Abra,PH140100000,Cordillera Administrative Region,PH140000000,Philippines (the),PH
Dao,PH061902000,NA,NA,NA,Capiz,PH061900000,Region VI,PH060000000,Philippines (the),PH
Dapa,PH166707000,NA,NA,NA,Surigao del Norte,PH166700000,Region XIII,PH160000000,Philippines (the),PH
Dapitan City,PH097201000,NA,NA,NA,Zamboanga del Norte,PH097200000,Region IX,PH090000000,Philippines (the),PH
Daraga,PH050503000,NA,NA,NA,Albay,PH050500000,Region V,PH050000000,Philippines (the),PH
Daram,PH086006000,NA,NA,NA,Samar,PH086000000,Region VIII,PH080000000,Philippines (the),PH
Dasol,PH015519000,NA,NA,NA,Pangasinan,PH015500000,Region I,PH010000000,Philippines (the),PH
Datu Abdullah Sangki,PH153828000,NA,NA,NA,Maguindanao,PH153800000,Autonomous Region in Muslim Mindanao,PH150000000,Philippines (the),PH
Datu Anggal Midtimbang,PH153831000,NA,NA,NA,Maguindanao,PH153800000,Autonomous Region in Muslim Mindanao,PH150000000,Philippines (the),PH
Datu Blah T. Sinsuat,PH153830000,NA,NA,NA,Maguindanao,PH153800000,Autonomous Region in Muslim Mindanao,PH150000000,Philippines (the),PH
Datu Hoffer Ampatuan,PH153835000,NA,NA,NA,Maguindanao,PH153800000,Autonomous Region in Muslim Mindanao,PH150000000,Philippines (the),PH
Datu Odin Sinsuat,PH153807000,NA,NA,NA,Maguindanao,PH153800000,Autonomous Region in Muslim Mindanao,PH150000000,Philippines (the),PH
Datu Paglas,PH153805000,NA,NA,NA,Maguindanao,PH153800000,Autonomous Region in Muslim Mindanao,PH150000000,Philippines (the),PH
Datu Piang,PH153806000,NA,NA,NA,Maguindanao,PH153800000,Autonomous Region in Muslim Mindanao,PH150000000,Philippines (the),PH
Datu Salibo,PH153836000,NA,NA,NA,Maguindanao,PH153800000,Autonomous Region in Muslim Mindanao,PH150000000,Philippines (the),PH
Datu Saudi-Ampatuan,PH153826000,NA,NA,NA,Maguindanao,PH153800000,Autonomous Region in Muslim Mindanao,PH150000000,Philippines (the),PH
Datu Unsay,PH153827000,NA,NA,NA,Maguindanao,PH153800000,Autonomous Region in Muslim Mindanao,PH150000000,Philippines (the),PH
Dauin,PH074609000,NA,NA,NA,Negros Oriental,PH074600000,Region VII,PH070000000,Philippines (the),PH
Dauis,PH071219000,NA,NA,NA,Bohol,PH071200000,Region VII,PH070000000,Philippines (the),PH
Davao City,PH112402000,NA,NA,NA,Davao del Sur,PH112400000,Region XI,PH110000000,Philippines (the),PH
Del Carmen,PH166708000,NA,NA,NA,Surigao del Norte,PH166700000,Region XIII,PH160000000,Philippines (the),PH
Del Gallego,PH051712000,NA,NA,NA,Camarines Sur,PH051700000,Region V,PH050000000,Philippines (the),PH
Delfin Albano,PH023118000,NA,NA,NA,Isabela,PH023100000,Region II,PH020000000,Philippines (the),PH
Diadi,PH025006000,NA,NA,NA,Nueva Vizcaya,PH025000000,Region II,PH020000000,Philippines (the),PH
Diffun,PH025703000,NA,NA,NA,Quirino,PH025700000,Region II,PH020000000,Philippines (the),PH
Dilasag,PH037703000,NA,NA,NA,Aurora,PH037700000,Region III,PH030000000,Philippines (the),PH
Dimasalang,PH054108000,NA,NA,NA,Masbate,PH054100000,Region V,PH050000000,Philippines (the),PH
Dimataling,PH097305000,NA,NA,NA,Zamboanga del Sur,PH097300000,Region IX,PH090000000,Philippines (the),PH
Dimiao,PH071220000,NA,NA,NA,Bohol,PH071200000,Region VII,PH070000000,Philippines (the),PH
Dinagat,PH168503000,NA,NA,NA,Dinagat Islands,PH168500000,Region XIII,PH160000000,Philippines (the),PH
Dinalungan,PH037704000,NA,NA,NA,Aurora,PH037700000,Region III,PH030000000,Philippines (the),PH
Dinalupihan,PH030804000,NA,NA,NA,Bataan,PH030800000,Region III,PH030000000,Philippines (the),PH
Dinapigue,PH023110000,NA,NA,NA,Isabela,PH023100000,Region II,PH020000000,Philippines (the),PH
Dinas,PH097306000,NA,NA,NA,Zamboanga del Sur,PH097300000,Region IX,PH090000000,Philippines (the),PH
Dingalan,PH037705000,NA,NA,NA,Aurora,PH037700000,Region III,PH030000000,Philippines (the),PH
Dingle,PH063016000,NA,NA,NA,Iloilo,PH063000000,Region VI,PH060000000,Philippines (the),PH
Dingras,PH012809000,NA,NA,NA,Ilocos Norte,PH012800000,Region I,PH010000000,Philippines (the),PH
Dipaculao,PH037706000,NA,NA,NA,Aurora,PH037700000,Region III,PH030000000,Philippines (the),PH
Diplahan,PH098303000,NA,NA,NA,Zamboanga Sibugay,PH098300000,Region IX,PH090000000,Philippines (the),PH
Dipolog City,PH097202000,NA,NA,NA,Zamboanga del Norte,PH097200000,Region IX,PH090000000,Philippines (the),PH
Ditsaan-Ramain,PH153624000,NA,NA,NA,Lanao del Sur,PH153600000,Autonomous Region in Muslim Mindanao,PH150000000,Philippines (the),PH
Divilacan,PH023111000,NA,NA,NA,Isabela,PH023100000,Region II,PH020000000,Philippines (the),PH
Dolores,PH045615000,NA,NA,NA,Quezon,PH045600000,Region IV-A,PH040000000,Philippines (the),PH
