objectid,code,name,welshname,bng_e,bng_n,long,lat,st_areashape,st_lengthshape
152,N09000001,Antrim and Newtownabbey, ,130813,541285,-6.1776,54.693859,725800900.1202297,145231.01963657912
153,N09000002,"Armagh City, Banbridge and Craigavon", ,112110,508158,-6.43455,54.3867,1436130448.752728,200894.6693917449
154,N09000003,Belfast, ,146465,529747,-5.92535,54.59853,137794023.25821275,55370.61090943298
155,N09000004,Causeway Coast and Glens, ,106168,581420,-6.5996,55.039619,1985252734.9285758,285674.03723275394
156,N09000005,Derry City and Strabane, ,51779,559566,-7.42064,54.80904,1246637562.276836,232729.54786266814
157,N09000006,Fermanagh and Omagh, ,41233,513013,-7.5271,54.385208,3009094379.0207806,353603.4064537905
158,N09000007,Lisburn and Castlereagh, ,138712,518920,-6.03545,54.49752,511681221.17664486,133181.94409070033
159,N09000008,Mid and East Antrim, ,133943,560151,-6.14645,54.86462,1064497440.1109608,198438.99519978245
160,N09000009,Mid Ulster, ,83920,528564,-6.8889,54.552731,1960344170.379376,267949.60561336036
161,N09000010,"Newry, Mourne and Down", ,133006,480432,-6.08891,54.149529,1686596198.0000918,292916.7341202406
162,N09000011,Ards and North Down, ,164321,524944,-5.64568,54.564091,568030925.6376523,133209.66441732866
163,S12000005,Clackmannanshire, ,291159,696335,-3.75344,56.14724,159232895.8837909,73844.8438203005
164,S12000006,Dumfries and Galloway, ,270645,579856,-4.02863,55.09621,6445067231.400825,689568.8810584807
165,S12000008,East Ayrshire, ,255398,624935,-4.29057,55.496738,1272832615.8667421,276686.0200278044
166,S12000010,East Lothian, ,354854,672351,-2.72435,55.94207,678543757.3569715,149493.88328203667
167,S12000011,East Renfrewshire, ,251929,653115,-4.3606,55.74868,175683611.93448952,75237.12195389859
168,S12000013,Na h-Eileanan Siar, ,126473,932862,-6.65722,58.199379,3032017857.1635976,1645313.8500979058
169,S12000014,Falkirk, ,289661,679536,-3.7706,55.99604,296706694.66437006,117083.00103529506
170,S12000017,Highland, ,241018,858292,-4.66103,57.586571,26291797787.242054,2890481.7538740896
171,S12000018,Inverclyde, ,227922,670894,-4.75387,55.900299,162448990.87100676,61139.2731285493
172,S12000019,Midlothian, ,330088,659217,-3.11738,55.82111,354813985.9342779,110233.8412277054
173,S12000020,Moray, ,328024,843593,-3.20187,57.47683,2243947309.8546395,356102.19980752876
174,S12000021,North Ayrshire, ,228996,651640,-4.7246,55.72789,881524981.3114526,255382.28055355963
175,S12000023,Orkney Islands, ,348293,1006584,-2.90025,58.94334,1007307595.3786252,771549.4500051183
176,S12000026,Scottish Borders, ,345891,626135,-2.85866,55.52594,4744516442.431123,430160.7358129358
177,S12000027,Shetland Islands, ,434516,1180307,-1.37344,60.504951,1450896786.593484,1192520.7309918068
178,S12000028,South Ayrshire, ,226545,596271,-4.72899,55.23008,1224445262.4529254,252777.6891144258
179,S12000029,South Lanarkshire, ,284634,636071,-3.83272,55.60453,1771731535.8851476,247208.20057114807
180,S12000030,Stirling, ,255980,708769,-4.32595,56.249531,2261949444.6446905,290565.8628077301
181,S12000033,Aberdeen City, ,387763,808479,-2.20398,57.166969,185416317.16067308,88078.51106988228
182,S12000034,Aberdeenshire, ,352284,816277,-2.79208,57.234692,6324833100.3231325,561629.313650337
183,S12000035,Argyll and Bute, ,200740,715443,-5.22114,56.28944,7088548938.742946,2037905.6977950719
184,S12000036,City of Edinburgh, ,320193,669416,-3.27826,55.91119,263292307.2553565,89188.97592660379
185,S12000038,Renfrewshire, ,239305,664698,-4.56834,55.848621,271395331.0265675,89105.50961292224
186,S12000039,West Dunbartonshire, ,242904,681586,-4.52074,56.0014,177490882.27866575,71209.35861649136
