DateReport,geoid,RegionName,Country,pInf,AB
2022-01-28,MEX484_19_19015,"Doctor Coss, Nuevo León, Mexico",Mexico,NA,3
2022-01-28,MEX484_20_20004,"Asunción Cuyotepeji, Oaxaca, Mexico",Mexico,NA,3
2022-01-28,MEX484_20_20007,"Asunción Ocotlán, Oaxaca, Mexico",Mexico,NA,3
2022-01-28,MEX484_20_20008,"Asunción Tlacolulita, Oaxaca, Mexico",Mexico,NA,3
2022-01-28,MEX484_20_20015,"Coatecas Altas, Oaxaca, Mexico",Mexico,NA,3
2022-01-28,MEX484_20_20016,"Coicoyán de las Flores, Oaxaca, Mexico",Mexico,NA,3
2022-01-28,MEX484_20_20018,"Concepción Buenavista, Oaxaca, Mexico",Mexico,NA,3
2022-01-28,MEX484_20_20019,"Concepción Pápalo, Oaxaca, Mexico",Mexico,NA,3
2022-01-28,MEX484_20_20024,"Cuyamecalco Villa de Zaragoza, Oaxaca, Mexico",Mexico,NA,3
2022-01-28,MEX484_20_20027,"Chiquihuitlán de Benito Juárez, Oaxaca, Mexico",Mexico,NA,3
2022-01-28,MEX484_20_20029,"Eloxochitlán de Flores Magón, Oaxaca, Mexico",Mexico,NA,3
2022-01-28,MEX484_20_20032,"Fresnillo de Trujano, Oaxaca, Mexico",Mexico,NA,3
2022-01-28,MEX484_20_20036,"Guevea de Humboldt, Oaxaca, Mexico",Mexico,NA,3
2022-01-28,MEX484_20_20037,"Mesones Hidalgo, Oaxaca, Mexico",Mexico,NA,3
2022-01-28,MEX484_20_20040,"Huautepec, Oaxaca, Mexico",Mexico,NA,3
2022-01-28,MEX484_20_20047,"Santa Magdalena Jicotlán, Oaxaca, Mexico",Mexico,NA,3
2022-01-28,MEX484_20_20048,"Magdalena Mixtepec, Oaxaca, Mexico",Mexico,NA,3
2022-01-28,MEX484_20_20051,"Magdalena Teitipac, Oaxaca, Mexico",Mexico,NA,3
2022-01-28,MEX484_20_20053,"Magdalena Tlacotepec, Oaxaca, Mexico",Mexico,NA,3
2022-01-28,MEX484_20_20054,"Magdalena Zahuatlán, Oaxaca, Mexico",Mexico,NA,3
2022-01-28,MEX484_20_20056,"Mártires de Tacubaya, Oaxaca, Mexico",Mexico,NA,3
2022-01-28,MEX484_20_20060,"Mixistlán de la Reforma, Oaxaca, Mexico",Mexico,NA,3
2022-01-28,MEX484_20_20062,"Natividad, Oaxaca, Mexico",Mexico,NA,3
2022-01-28,MEX484_20_20069,"La Pe, Oaxaca, Mexico",Mexico,NA,3
2022-01-28,MEX484_20_20071,"Pluma Hidalgo, Oaxaca, Mexico",Mexico,NA,3
2022-01-28,MEX484_20_20074,"Santa Catarina Quioquitani, Oaxaca, Mexico",Mexico,NA,3
2022-01-28,MEX484_20_20076,"La Reforma, Oaxaca, Mexico",Mexico,NA,3
2022-01-28,MEX484_20_20080,"San Agustín Amatengo, Oaxaca, Mexico",Mexico,NA,3
2022-01-28,MEX484_20_20081,"San Agustín Atenango, Oaxaca, Mexico",Mexico,NA,3
2022-01-28,MEX484_20_20082,"San Agustín Chayuco, Oaxaca, Mexico",Mexico,NA,3
